Time,LeftFeedback_ForceFrontOuter,LeftFeedback_ForceFrontInner,LeftFeedback_ForceRear,LeftFeedback_ImuQuatX,LeftFeedback_ImuQuatY,LeftFeedback_ImuQuatZ,LeftFeedback_ImuQuatW,LeftFeedback_ImuAccelX,LeftFeedback_ImuAccelY,LeftFeedback_ImuAccelZ,LeftFeedback_ImuRateX,LeftFeedback_ImuRateY,LeftFeedback_ImuRateZ,LeftFeedback_VelocityCmdRear,LeftFeedback_VelocityCmdFront,LeftFeedback_SkateFault,LeftFeedback_PositionFiltRear,LeftFeedback_PositionFiltFront,LeftFeedback_VelocityFiltRear,LeftFeedback_VelocityFiltFront,LeftFeedback_DeadManEnable,LeftFeedback_ControllerTargetRear,LeftFeedback_ControllerTargetFront,LeftFeedback_SkateMode,LeftFeedback_DebugInt1,LeftFeedback_DebugInt2,LeftFeedback_DebugInt3,LeftFeedback_DebugInt4,LeftFeedback_DebugFloat1,LeftFeedback_DebugFloat2,RightFeedback_ForceFrontOuter,RightFeedback_ForceFrontInner,RightFeedback_ForceRear,RightFeedback_ImuQuatX,RightFeedback_ImuQuatY,RightFeedback_ImuQuatZ,RightFeedback_ImuQuatW,RightFeedback_ImuAccelX,RightFeedback_ImuAccelY,RightFeedback_ImuAccelZ,RightFeedback_ImuRateX,RightFeedback_ImuRateY,RightFeedback_ImuRateZ,RightFeedback_VelocityCmdRear,RightFeedback_VelocityCmdFront,RightFeedback_SkateFault,RightFeedback_PositionFiltRear,RightFeedback_PositionFiltFront,RightFeedback_VelocityFiltRear,RightFeedback_VelocityFiltFront,RightFeedback_DeadManEnable,RightFeedback_ControllerTargetRear,RightFeedback_ControllerTargetFront,RightFeedback_SkateMode,RightFeedback_DebugInt1,RightFeedback_DebugInt2,RightFeedback_DebugInt3,RightFeedback_DebugInt4,RightFeedback_DebugFloat1,RightFeedback_DebugFloat2,LeftCommand_CommandTarget,RightCommand_CommandTarget,NormalizedForce_LeftNormalFrontOuter,NormalizedForce_LeftNormalFrontInner,NormalizedForce_LeftNormalRear,NormalizedForce_RightNormalFrontOuter,NormalizedForce_RightNormalFrontInner,NormalizedForce_RightNormalRear,NormalizedForce_RightNormalTotal,NormalizedForce_LeftNormalTotal,NormalizedForce_NormalTotal,PoundsValues_LeftForceFrontOuter,PoundsValues_LeftForceFrontInner,PoundsValues_LeftForceRear,PoundsValues_RightForceFrontOuter,PoundsValues_RightForceFrontInner,PoundsValues_RightForceRear,PoundsValues_RightTotal,PoundsValues_LeftTotal,PoundsValues_Total,CentreOfMassKinect_X,CentreOfMassKinect_Y,CentreOfMassKinect_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,HipRight_X,HipRight_Y,HipRight_Z,FootLeft_X,FootLeft_Y,FootLeft_Z,FootRight_X,FootRight_Y,FootRight_Z,UserPositionOffset
0.170850992202759,173,408,508,1896,-22381,19566,133,0.0864937901496887,0.202910169959068,1.08317625522614,-10.9642095565796,-1.07748329639435,-15.8458967208862,-0.164290904998779,-0.164001792669296,0,-27724.548828125,-27716.267578125,-362.043548583984,-359.358337402344,0,-384,-384,10,980,6112,10012,16549,-1204.93884277344,-951.573364257813,168,157,227,-2394,13676,-26316,1428,-0.00507282838225365,-0.855722904205322,0.845151126384735,353.306762695313,-54.2855949401855,1.81789827346802,0.146440595388412,0.139563515782356,0,27705.091796875,27656.173828125,394.171234130859,401.548126220703,0,384,384,10,992,6060,10008,10145,1395.11145019531,1068.31970214844,384.890167236328,384.890167236328,0,0.268781721591949,0.364710748195648,0,0,0.0189558416604996,0.0189558416604996,0.633492469787598,0.652448296546936,-12.3292245864868,45.4085388183594,61.6149864196777,-6.99012517929077,-13.2894535064697,3.20243906974792,-17.0771408081055,94.6942977905273,77.6171569824219,-0.0531477828411968,0.189423646743549,-0.035187637944561,-0.0970421706579558,0.279862551909434,-0.0345853521663769,-0.104422157148273,0.0575617244762437,-0.0192504480409099,-0.102043504478358,0.252874938933835,-0.956416907287635,-0.349664103609017,0.109585987303138,-0.898583600263126,0.100732163903114
0.180037975311279,161,405,509,1896,-22381,19566,133,0.0864937901496887,0.202910169959068,1.08317625522614,-10.9642095565796,-1.07748329639435,-15.8458967208862,-0.164509683847427,-0.164149433374405,0,-27728.2265625,-27719.931640625,-361.954498291016,-359.419525146484,0,-384,-384,10,1004,6304,10040,16549,-1226.984375,-976.15380859375,157,169,227,-3006,13580,-26244,2264,0.0539612323045731,-0.785390198230743,0.769087851047516,379.366119384766,-56.5709457397461,24.1174659729004,0.145555973052979,0.148443639278412,0,27709.751953125,27660.857421875,395.501831054688,386.713989257813,0,384,384,10,800,5820,10512,10146,1383.60961914063,1065.60571289063,384.890167236328,384.890167236328,0,0.268781721591949,0.364710748195648,0,0,0.0189558416604996,0.0189558416604996,0.633492469787598,0.652448296546936,-12.3292245864868,45.4085388183594,61.6149864196777,-6.99012517929077,-13.2894535064697,3.20243906974792,-17.0771408081055,94.6942977905273,77.6171569824219,-0.0531477828411968,0.189423646743549,-0.035187637944561,-0.0970421706579558,0.279862551909434,-0.0345853521663769,-0.104422157148273,0.0575617244762437,-0.0192504480409099,-0.102043504478358,0.252874938933835,-0.956416907287635,-0.349664103609017,0.109585987303138,-0.898583600263126,0.100732163903114
0.190407037734985,157,409,507,1897,-22412,19531,139,0.197366237640381,0.162321701645851,0.941857218742371,-5.17079496383667,6.97243928909302,-14.0699405670166,-0.164778083562851,-0.165105357766151,0,-27731.75390625,-27723.40625,-361.784851074219,-358.149444580078,0,-384,-384,10,908,5924,9992,16550,-1249.19946289063,-1002.00439453125,160,171,233,-3849,13264,-26175,3386,0.0872990116477013,-0.433129370212555,0.730311155319214,310.288543701172,-39.2314605712891,-8.18846321105957,0.147013664245605,0.155088901519775,0,27713.201171875,27664.19140625,392.960327148438,375.741790771484,0,384,384,10,968,5992,10016,10147,1374.64929199219,1073.86389160156,384.611206054688,384.611206054688,0,0.2701735496521,0.363409876823425,0,0,0.0261305887252092,0.0261305887252092,0.633583426475525,0.659714043140411,-15.8941402435303,45.6436767578125,61.3952140808105,-8.95910453796387,-10.1750516891479,4.41455554962158,-14.7196006774902,91.1447525024414,76.4251480102539,-0.0543639560131939,0.193522628362431,-0.0320844959299204,-0.0968607861191222,0.287125202111878,-0.0305747784918902,-0.108323291672152,0.0650840032374476,-0.0148526752274278,-0.109257617726445,0.250542041951503,-0.959272471609018,-0.353104259091491,0.107396439525736,-0.892588348368846,0.102592038895637
0.200243949890137,165,413,506,1879,-22387,19560,147,-0.00570498593151569,0.125860840082169,0.844523191452026,-1.49023401737213,-9.48204612731934,1.69749474525452,-0.165996104478836,-0.165085554122925,0,-27735.435546875,-27727.041015625,-360.054138183594,-358.501190185547,0,-384,-384,10,908,6104,10036,16551,-1273.14526367188,-1027.50317382813,156,169,223,-4472,13148,-25994,4335,0.121098980307579,0.0307841934263706,0.776512384414673,191.455093383789,-37.4501113891602,-1.77207922935486,0.145868450403214,0.151217713952065,0,27717.177734375,27668.013671875,394.734832763672,382.216064453125,0,384,384,10,868,6104,9992,10148,1363.91442871094,1075.64782714844,384.611206054688,384.611206054688,0,0.2701735496521,0.363409876823425,0,0,0.0261305887252092,0.0261305887252092,0.633583426475525,0.659714043140411,-15.8941402435303,45.6436767578125,61.3952140808105,-8.95910453796387,-10.1750516891479,4.41455554962158,-14.7196006774902,91.1447525024414,76.4251480102539,-0.0543639560131939,0.193522628362431,-0.0320844959299204,-0.0968607861191222,0.287125202111878,-0.0305747784918902,-0.108323291672152,0.0650840032374476,-0.0148526752274278,-0.109257617726445,0.250542041951503,-0.959272471609018,-0.353104259091491,0.107396439525736,-0.892588348368846,0.102592038895637
0.210491895675659,163,414,504,1879,-22387,19560,147,-0.00570498593151569,0.125860840082169,0.844523191452026,-1.49023401737213,-9.48204612731934,1.69749474525452,-0.165732234716415,-0.164942607283592,0,-27739.033203125,-27730.654296875,-360.784118652344,-359.051300048828,0,-384,-384,10,904,6148,10000,16551,-1296.36108398438,-1052.45190429688,150,175,222,-4472,13148,-25994,4335,0.121098980307579,0.0307841934263706,0.776512384414673,191.455093383789,-37.4501113891602,-1.77207922935486,0.14631399512291,0.149182796478271,0,27721.099609375,27671.828125,393.868896484375,385.587738037109,0,384,384,10,904,5988,10004,10148,1354.04553222656,1074.06005859375,384.611206054688,384.611206054688,0,0.277132630348206,0.359507292509079,0,0,0.0129768839105964,0.0129768839105964,0.636639952659607,0.649616777896881,-14.557297706604,46.8193626403809,60.7359046936035,-11.4203300476074,-9.28522205352783,2.19234156608582,-18.5132102966309,92.9979705810547,74.4847564697266,-0.0543639560131939,0.193522628362431,-0.0320844959299204,-0.0968607861191222,0.287125202111878,-0.0305747784918902,-0.108323291672152,0.0650840032374476,-0.0148526752274278,-0.109257617726445,0.250542041951503,-0.959272471609018,-0.353104259091491,0.107396439525736,-0.892588348368846,0.102592038895637
0.220255851745605,154,417,504,1901,-22385,19560,170,0.0654417350888252,0.131557643413544,0.868767917156219,-7.36305952072144,-0.65155827999115,-12.1207656860352,-0.164244934916496,-0.163471147418022,0,-27743.224609375,-27734.84765625,-363.518951416016,-361.781463623047,0,-384,-384,10,776,5796,10472,16552,-1316.84216308594,-1074.67041015625,147,170,223,-4722,13094,-25921,4657,0.169879853725433,0.286614179611206,1.03912460803986,47.1730422973633,-21.6521072387695,-1.77062606811523,0.145136713981628,0.148496732115746,0,27725.7109375,27676.34765625,395.684967041016,386.697479248047,0,384,384,10,816,5824,10516,10149,1342.36059570313,1071.36254882813,384.549133300781,384.549133300781,0,0.277132630348206,0.359507292509079,0,0,0.0129768839105964,0.0129768839105964,0.636639952659607,0.649616777896881,-14.557297706604,46.8193626403809,60.7359046936035,-11.4203300476074,-9.28522205352783,2.19234156608582,-18.5132102966309,92.9979705810547,74.4847564697266,-0.053037871876231,0.196044344420685,-0.0265719112407527,-0.0955582955544139,0.292082238146227,-0.0255278167235036,-0.110453417474804,0.0702692552321244,-0.00935420854076696,-0.117885281338503,0.248037508917535,-0.955805398902157,-0.351168895820061,0.10706794397969,-0.876436133798032,0.103005856514609
0.230581998825073,152,417,504,1901,-22385,19560,170,0.0654417350888252,0.131557643413544,0.868767917156219,-7.36305952072144,-0.65155827999115,-12.1207656860352,-0.163710802793503,-0.162776365876198,0,-27747.1015625,-27738.693359375,-364.651031494141,-363.199432373047,0,-384,-384,10,776,5968,10672,16552,-1336.19116210938,-1095.47094726563,148,168,225,-4909,13074,-25870,4802,0.267864584922791,0.368147253990173,1.26446783542633,-44.3840026855469,15.1838073730469,-7.05621957778931,0.144705951213837,0.146539747714996,0,27729.169921875,27679.701171875,396.249786376953,389.885528564453,0,384,384,10,900,5992,10016,10150,1330.11083984375,1065.47705078125,384.549133300781,384.549133300781,0,0.281308114528656,0.359507292509079,0,0,0.0165642574429512,0.0165642574429512,0.640815377235413,0.657379686832428,-17.0081768035889,47.524772644043,60.7359046936035,-11.9125747680664,-10.8424234390259,2.79839992523193,-19.9565982818604,91.2525024414063,71.2958984375,-0.053037871876231,0.196044344420685,-0.0265719112407527,-0.0955582955544139,0.292082238146227,-0.0255278167235036,-0.110453417474804,0.0702692552321244,-0.00935420854076696,-0.117885281338503,0.248037508917535,-0.955805398902157,-0.351168895820061,0.10706794397969,-0.876436133798032,0.103005856514609
0.240520000457764,160,418,502,1876,-22396,19551,157,0.0288022309541702,0.00991948321461678,0.974213123321533,2.99674248695374,3.9846727848053,-12.513014793396,-0.163071185350418,-0.162042438983917,0,-27750.162109375,-27741.73828125,-365.942779541016,-364.664337158203,0,-384,-384,10,856,5688,9372,16553,-1354.24841308594,-1114.806640625,159,164,229,-4816,13100,-25890,4715,0.302970558404922,0.411018639802933,1.38612413406372,-102.481582641602,25.6917304992676,-6.53382062911987,0.145518526434898,0.14499594271183,0,27733.15234375,27683.607421875,394.760986328125,392.354125976563,0,384,384,10,904,6044,9996,10151,1319.34985351563,1057.12292480469,384.549133300781,384.549133300781,0,0.281308114528656,0.359507292509079,0,0,0.0165642574429512,0.0165642574429512,0.640815377235413,0.657379686832428,-17.0081768035889,47.524772644043,60.7359046936035,-11.9125747680664,-10.8424234390259,2.79839992523193,-19.9565982818604,91.2525024414063,71.2958984375,-0.053037871876231,0.196044344420685,-0.0265719112407527,-0.0955582955544139,0.292082238146227,-0.0255278167235036,-0.110453417474804,0.0702692552321244,-0.00935420854076696,-0.117885281338503,0.248037508917535,-0.955805398902157,-0.351168895820061,0.10706794397969,-0.876436133798032,0.103005856514609
0.252409934997559,160,424,504,1876,-22396,19551,157,0.0288022309541702,0.00991948321461678,0.974213123321533,2.99674248695374,3.9846727848053,-12.513014793396,-0.162497445940971,-0.162312805652618,0,-27753.716796875,-27745.26953125,-367.110137939453,-364.4580078125,0,-384,-384,10,840,6012,10012,16553,-1371.13830566406,-1134.3486328125,163,168,232,-4593,13152,-25948,4467,0.308094650506973,0.458158791065216,1.47020483016968,-158.714126586914,40.7937240600586,-2.85832667350769,0.145027130842209,0.143490344285965,0,27737.080078125,27687.5234375,395.43701171875,394.729339599609,0,384,384,10,872,6048,10004,10152,1307.91284179688,1046.3935546875,384.549133300781,384.549133300781,0,0.291050851345062,0.359507292509079,0,0,0.0249347984790802,0.0249347984790802,0.650558114051819,0.675492942333221,-15.2257194519043,49.1707305908203,60.7359046936035,-8.22073745727539,-10.8424234390259,4.21253633499146,-14.850625038147,94.6809158325195,79.8302917480469,-0.053037871876231,0.196044344420685,-0.0265719112407527,-0.0955582955544139,0.292082238146227,-0.0255278167235036,-0.110453417474804,0.0702692552321244,-0.00935420854076696,-0.117885281338503,0.248037508917535,-0.955805398902157,-0.351168895820061,0.10706794397969,-0.876436133798032,0.103005856514609
0.260468006134033,147,425,495,1768,-22581,19347,133,-0.00145586580038071,0.00782771222293377,0.961269080638886,1.58309972286224,7.70238447189331,-15.4015884399414,-0.161512285470963,-0.160210624337196,0,-27758,-27749.5234375,-368.940307617188,-368.159637451172,0,-384,-384,10,784,5624,10376,16554,-1386.19799804688,-1150.18896484375,165,147,232,-4327,13201,-26018,4170,0.311826914548874,0.471979737281799,1.4444328546524,-191.95491027832,50.8604888916016,0.322943478822708,0.145787954330444,0.144210502505302,0,27741.052734375,27691.48828125,394.043426513672,393.411437988281,0,384,384,10,884,6056,10012,10153,1297.86938476563,1036.98217773438,385.194671630859,385.194671630859,0,0.291050851345062,0.359507292509079,0,0,0.0249347984790802,0.0249347984790802,0.650558114051819,0.675492942333221,-15.2257194519043,49.1707305908203,60.7359046936035,-8.22073745727539,-10.8424234390259,4.21253633499146,-14.850625038147,94.6809158325195,79.8302917480469,-0.0500700374035747,0.204322334344639,-0.0169163522955293,-0.089171094715899,0.303881196544328,-0.0154148030757183,-0.108233216964836,0.082232148290411,-0.00129357826839148,-0.128985110745992,0.253372337530386,-0.943907286841137,-0.332525107689831,0.117144420848446,-0.869272139780577,0.0987021558403671
